City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
641,Padang,ID,83.41,few clouds,-0.95,100.35,Mercure Padang
647,Puerto Gaitan,CO,82.15,clear sky,4.31,-72.08,Brisas del Yucao
651,Koungheul,SN,80.2,overcast clouds,13.98,-14.8,
652,Aden,YE,81.39,clear sky,12.78,45.04,Sama Emirate Hotel
657,Veracruz,MX,75.99,scattered clouds,19.33,-96.67,El Carrizal
658,Eyl,SO,79.7,overcast clouds,7.98,49.82,Amiin Hotel
666,Ouahigouya,BF,78.53,clear sky,13.58,-2.42,Hotel Liberte
667,Vieques,PR,80.6,scattered clouds,18.43,-65.83,Melia Coco Beach
674,Tiarei,PF,84.2,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
680,Sibolga,ID,81.32,few clouds,1.74,98.78,Hotel Syariah CN Darussalam
683,Itupiranga,BR,82.06,scattered clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
